ds,yhat,yhat_lower,yhat_upper,Country
2046-12-31,20498502367.887432,19639321068.425446,21326635285.151085,China
2047-12-31,20848367190.603054,19965228880.361202,21682204565.591373,China
2048-12-31,21163505116.828583,20227806331.23658,22101547185.244823,China
2049-12-31,21513530090.052986,20582731044.971115,22465593657.205063,China
2050-12-31,21863480362.21597,20847573609.381123,22947816903.51673,China
2051-12-31,22213345184.931503,21159618916.331177,23248689518.39239,China
2052-12-31,22528483111.157024,21441119908.9211,23566033867.994625,China
1800-01-01,-132006716.1656706,-496703809.18465286,252606225.98397255,United States
1801-01-01,-111267396.13414505,-494077850.9835297,273868215.7438249,United States
1802-01-01,-90056037.55848587,-458963640.00940293,297468863.31535894,United States
1803-01-01,-68394768.66007641,-437505259.2458538,307066615.9242598,United States
1804-01-01,-46306453.486995,-419827888.59580815,347215033.00461376,United States
1805-01-01,-99695085.7102318,-498807192.6432301,271127115.1298234,United States
1806-01-01,-78483727.13515475,-457158582.7980479,312042039.94584686,United States
1807-01-01,-56822458.23612009,-461559512.7717058,302240718.2965057,United States
1808-01-01,-34734143.09464,-412904714.5848606,343618223.61438465,United States
1809-01-01,-88122775.35028191,-465042253.72149265,286246321.0239791,United States
1810-01-01,-66911416.80627711,-413375587.54063874,328656792.4837233,United States
1811-01-01,-45250147.938633785,-416737649.36702865,316533056.13426995,United States
1812-01-01,-23161832.798077673,-412317569.4334737,352850472.63148457,United States
1813-01-01,-76550465.0529803,-439169262.88073087,334005825.95345056,United States
1814-01-01,-55339106.508691624,-416609002.6370167,359574099.03485584,United States
1815-01-01,-33677837.690834075,-418799010.1938453,344734996.9729381,United States
1816-01-01,-11589522.598497435,-421733260.7499332,350341221.0800432,United States
1817-01-01,-64978154.90276961,-439119444.79744273,306224544.45897454,United States
1818-01-01,-43766796.40762851,-431028169.93398386,342608347.8229349,United States
1819-01-01,-22105527.589177966,-432583464.63600934,333431109.57446116,United States
1820-01-01,-17212.4966776222,-362775688.0700808,381192697.3399791,United States
1821-01-01,-53405844.800909504,-408244267.77260345,328775386.30563927,United States
1822-01-01,-32194485.98978947,-410225901.116578,310495393.2449944,United States
1823-01-01,-10533216.854963526,-359637720.8130298,398394646.59910494,United States
1824-01-01,11555098.553146511,-361561462.02950865,376148070.09449846,United States
1825-01-01,-41833533.43349099,-438823499.80796576,347054234.578944,United States
1826-01-01,-20622174.622792512,-421447570.027932,352554237.9911877,United States
1827-01-01,1039094.5120777786,-371697936.0594345,382354890.0297409,United States
1828-01-01,23127409.920807987,-387594242.3647493,384559769.57333314,United States
1829-01-01,-30261222.087545365,-401899126.8607055,353379430.1221342,United States
1830-01-01,-9049863.296788424,-396496990.6852807,328391664.3798469,United States
1831-01-01,12611405.81721519,-352156298.33125454,371218772.2951286,United States
1832-01-01,34699721.20534846,-316157139.0897042,416796467.2703773,United States
1833-01-01,-18688910.80303791,-393809610.9730654,364671075.73312235,United States
1834-01-01,2522447.987365961,-372033887.3914207,372861332.2285414,United States
1835-01-01,24183717.100923494,-350012317.2391839,410948268.0566433,United States
1836-01-01,46272032.488854036,-310177458.6635568,443434510.6433297,United States
1837-01-01,-7116599.467611343,-378362821.4973674,335762385.18842953,United States
1838-01-01,14094759.373520374,-375291371.9466447,375689421.1638056,United States
1839-01-01,35756028.53865075,-347035181.786655,394778024.83973694,United States
1840-01-01,57844343.97760624,-312721548.29181665,447799084.7264482,United States
1841-01-01,4455712.020564526,-360887842.0643074,381851967.02706206,United States
1842-01-01,25667070.862294406,-371070508.47046155,438621420.4342034,United States
1843-01-01,47328340.02745329,-329622624.3418154,409158215.4370022,United States
1844-01-01,69416656.42667815,-298836651.57135856,433372579.8736405,United States
1845-01-01,16028025.433793217,-348788094.2065568,410857646.33498573,United States
1846-01-01,37239385.23612225,-331979732.1174086,400806942.66538554,United States
1847-01-01,58900655.361640304,-307577657.01696706,403332705.1508263,United States
1848-01-01,80988971.76142173,-298007098.09634614,446443133.2468291,United States
1849-01-01,27600340.768482447,-337800603.22085214,423958799.8175168,United States
1850-01-01,48811700.57044041,-344873793.2531536,424429575.209671,United States
